reference,pin,net,description
SW2,4,+5V_BUZZER_SW,"BUZZER ENABLE (7-7 ZS)"
SW2,5,+5V_PERIPH,"BUZZER ENABLE (7-7 ZS)"
SW1,5,MUTE_N,"MUTE (7-7 WS)"
SW1,6,GND,"MUTE (7-7 WS)"
MIC1,1,MIC_SCK,"INMP441 1x6 MODULE"
MIC1,2,MIC_WS,"INMP441 1x6 MODULE"
MIC1,3,GND,"INMP441 1x6 MODULE"
MIC1,4,MIC_SD,"INMP441 1x6 MODULE"
MIC1,5,+3V3,"INMP441 1x6 MODULE"
MIC1,6,GND,"INMP441 1x6 MODULE"
BZ1,1,+5V_BUZZER_SW,"FUET-1370F-05"
BZ1,2,BUZZER_COLLECTOR,"FUET-1370F-05"
P1,1,+5V_IN,"5 V POWER WIRES"
P1,2,GND,"5 V POWER WIRES"
W1,1,+5V_IN,"ESP32 +5V"
W2,1,GND,"ESP32 GND"
W3,1,MUTE_N,"ESP32 MUTE"
W4,1,MIC_SCK,"ESP32 MIC SCK"
W5,1,MIC_WS,"ESP32 MIC WS"
W6,1,MIC_SD,"ESP32 MIC SD"
W7,1,+3V3,"ESP32 3V3"
W8,1,LED_DATA_3V3,"ESP32 LED DATA"
W9,1,BUZZER_PWM,"ESP32 BUZZER"
W10,1,+5V_PERIPH,"LED +5V"
W11,1,LED_DATA,"LED DATA"
W12,1,GND,"LED GND"
R1,1,LED_DATA_3V3,"330R"
R1,2,LED_DATA,"330R"
R2,1,BUZZER_PWM,"1K"
R2,2,BUZZER_BASE,"1K"
R3,1,BUZZER_BASE,"100K"
R3,2,GND,"100K"
D1,1,+5V_BUZZER_SW,"1N5819"
D1,2,BUZZER_COLLECTOR,"1N5819"
F1,1,+5V_IN,"0.5A PTC MF-R050"
F1,2,+5V_PERIPH,"0.5A PTC MF-R050"
C2,1,+5V_PERIPH,"1000uF 10V"
C2,2,GND,"1000uF 10V"
Q1,1,GND,"2N3904"
Q1,2,BUZZER_BASE,"2N3904"
Q1,3,BUZZER_COLLECTOR,"2N3904"
