diameter_mm,x_mm,y_mm,purpose
0.8,24.500,8.000,wire-via
0.8,30.500,12.500,wire-via
0.8,37.500,14.500,wire-via
0.8,54.500,16.000,wire-via
0.8,38.000,17.000,wire-via
0.8,32.000,18.000,wire-via
0.8,50.000,23.000,wire-via
0.8,60.000,23.000,wire-via
0.8,30.500,25.000,wire-via
0.8,37.500,26.500,wire-via
0.8,52.500,27.500,wire-via
0.8,25.500,29.000,wire-via
0.8,13.500,31.000,wire-via
0.8,18.500,31.000,wire-via
0.8,9.000,31.500,wire-via
0.8,57.000,32.000,wire-via
0.8,9.500,34.500,wire-via
0.8,6.000,44.500,wire-via
0.8,40.500,44.500,wire-via
0.8,8.500,45.000,wire-via
0.8,23.500,45.000,wire-via
0.8,26.000,45.000,wire-via
0.8,30.000,45.000,wire-via
0.8,37.500,45.000,wire-via
0.8,47.500,45.000,wire-via
0.9,30.000,4.500,U1-1
0.9,37.620,4.500,U1-14
0.9,40.000,5.500,C1-1
0.9,42.000,5.500,C1-2
0.9,30.000,7.040,U1-2
0.9,37.620,7.040,U1-13
0.9,30.000,9.580,U1-3
0.9,37.620,9.580,U1-12
0.9,30.000,12.120,U1-4
0.9,37.620,12.120,U1-11
0.9,30.000,14.660,U1-5
0.9,37.620,14.660,U1-10
0.9,43.000,16.000,R1-1
0.9,50.000,16.000,R1-2
0.9,30.000,17.200,U1-6
0.9,37.620,17.200,U1-9
0.9,30.000,19.740,U1-7
0.9,37.620,19.740,U1-8
0.9,50.000,23.000,D1-1
0.9,60.000,23.000,D1-2
0.9,43.000,28.000,R2-1
0.9,50.000,28.000,R2-2
0.9,52.460,28.000,Q1-1
0.9,55.000,28.000,Q1-2
0.9,57.540,28.000,Q1-3
0.9,6.000,31.000,MIC1-1
0.9,8.540,31.000,MIC1-2
0.9,11.080,31.000,MIC1-3
0.9,13.620,31.000,MIC1-4
0.9,16.160,31.000,MIC1-5
0.9,18.700,31.000,MIC1-6
0.9,50.000,32.000,R3-1
0.9,57.000,32.000,R3-2
0.9,3.500,45.000,J2-1
0.9,6.000,45.000,J2-2
0.9,8.500,45.000,J2-3
0.9,11.000,45.000,J2-4
0.9,13.500,45.000,J2-5
0.9,16.000,45.000,J2-6
0.9,18.500,45.000,J2-7
0.9,21.000,45.000,J2-8
0.9,23.500,45.000,J2-9
0.9,26.000,45.000,J2-10
0.9,30.000,45.000,J3-1
0.9,32.500,45.000,J3-2
0.9,35.000,45.000,J3-3
0.9,37.500,45.000,J3-4
0.9,40.000,45.000,J3-5
0.9,45.000,45.000,J1-1
0.9,47.500,45.000,J1-2
1.0,7.000,7.500,SW2-1
1.0,9.000,7.500,SW2-2
1.0,11.000,7.500,SW2-3
1.0,20.000,7.500,SW1-1
1.0,22.000,7.500,SW1-2
1.0,24.000,7.500,SW1-3
1.0,7.000,12.500,SW2-4
1.0,9.000,12.500,SW2-5
1.0,11.000,12.500,SW2-6
1.0,20.000,12.500,SW1-4
1.0,22.000,12.500,SW1-5
1.0,24.000,12.500,SW1-6
1.0,61.500,34.000,C2-1
1.0,66.500,34.000,C2-2
1.0,55.500,40.000,F1-1
1.0,60.500,40.000,F1-2
2.0,35.000,2.500,registration
2.0,35.000,47.500,registration
