diameter_mm,x_mm,y_mm,purpose
0.8,10.000,3.000,A-wire-via
0.8,15.000,3.000,A-wire-via
0.8,4.750,4.750,A-wire-via
0.8,30.000,9.250,A-wire-via
0.8,35.500,11.000,A-wire-via
0.8,64.750,12.250,A-wire-via
0.8,38.500,12.750,A-wire-via
0.8,58.000,13.500,A-wire-via
0.8,19.500,17.750,A-wire-via
0.8,33.250,18.750,A-wire-via
0.8,18.000,22.000,A-wire-via
0.8,29.750,22.000,A-wire-via
0.8,37.250,22.000,A-wire-via
0.8,44.000,22.000,A-wire-via
0.8,26.000,28.000,B-wire-via
0.8,32.750,28.000,B-wire-via
0.8,40.250,28.000,B-wire-via
0.8,52.000,28.000,B-wire-via
0.8,36.750,31.250,B-wire-via
0.8,50.500,32.250,B-wire-via
0.8,12.000,36.500,B-wire-via
0.8,31.500,37.250,B-wire-via
0.8,5.250,37.750,B-wire-via
0.8,34.500,39.000,B-wire-via
0.8,40.000,40.750,B-wire-via
0.8,65.250,45.250,B-wire-via
0.8,55.000,47.000,B-wire-via
0.8,60.000,47.000,B-wire-via
0.9,49.000,6.000,A-R2-1
0.9,56.000,6.000,A-R2-2
0.9,49.000,10.000,A-R3-1
0.9,49.000,16.000,A-R3-2
0.9,56.960,17.000,A-Q1-1
0.9,59.500,17.000,A-Q1-2
0.9,62.040,17.000,A-Q1-3
0.9,56.000,21.000,A-D1-2
0.9,66.000,21.000,A-D1-1
0.9,4.000,29.000,B-D1-1
0.9,14.000,29.000,B-D1-2
0.9,7.960,33.000,B-Q1-3
0.9,10.500,33.000,B-Q1-2
0.9,13.040,33.000,B-Q1-1
0.9,21.000,34.000,B-R3-2
0.9,21.000,40.000,B-R3-1
0.9,14.000,44.000,B-R2-2
0.9,21.000,44.000,B-R2-1
1.0,10.000,3.000,A-F1-1
1.0,15.000,3.000,A-F1-2
1.0,33.460,8.440,A-MIC1-1
1.0,36.000,8.440,A-MIC1-2
1.0,38.540,8.440,A-MIC1-3
1.0,5.000,9.750,A-SW2-1
1.0,7.000,9.750,A-SW2-2
1.0,9.000,9.750,A-SW2-3
1.0,16.000,9.750,A-SW1-1
1.0,18.000,9.750,A-SW1-2
1.0,20.000,9.750,A-SW1-3
1.0,57.200,12.250,A-BZ1-2
1.0,64.800,12.250,A-BZ1-1
1.0,5.000,14.750,A-SW2-4
1.0,7.000,14.750,A-SW2-5
1.0,9.000,14.750,A-SW2-6
1.0,16.000,14.750,A-SW1-4
1.0,18.000,14.750,A-SW1-5
1.0,20.000,14.750,A-SW1-6
1.0,33.460,16.060,A-MIC1-4
1.0,36.000,16.060,A-MIC1-5
1.0,38.540,16.060,A-MIC1-6
1.0,31.460,33.940,B-MIC1-6
1.0,34.000,33.940,B-MIC1-5
1.0,36.540,33.940,B-MIC1-4
1.0,50.000,35.250,B-SW1-6
1.0,52.000,35.250,B-SW1-5
1.0,54.000,35.250,B-SW1-4
1.0,61.000,35.250,B-SW2-6
1.0,63.000,35.250,B-SW2-5
1.0,65.000,35.250,B-SW2-4
1.0,5.200,37.750,B-BZ1-1
1.0,12.800,37.750,B-BZ1-2
1.0,50.000,40.250,B-SW1-3
1.0,52.000,40.250,B-SW1-2
1.0,54.000,40.250,B-SW1-1
1.0,61.000,40.250,B-SW2-3
1.0,63.000,40.250,B-SW2-2
1.0,65.000,40.250,B-SW2-1
1.0,31.460,41.560,B-MIC1-3
1.0,34.000,41.560,B-MIC1-2
1.0,36.540,41.560,B-MIC1-1
1.0,55.000,47.000,B-F1-2
1.0,60.000,47.000,B-F1-1
1.2,3.000,3.000,A-PWR1-1
1.2,6.500,3.000,A-PWR1-2
1.2,35.000,3.000,A-J_ESP32-7
1.2,42.000,3.000,A-J_LED-2
1.2,48.000,3.000,A-J_ESP32-8
1.2,2.500,22.000,A-J_ESP32-1
1.2,6.000,22.000,A-J_ESP32-2
1.2,18.000,22.000,A-J_ESP32-9
1.2,29.650,22.000,A-J_ESP32-4
1.2,32.190,22.000,A-J_ESP32-5
1.2,37.270,22.000,A-J_ESP32-6
1.2,39.810,22.000,A-J_ESP32-3
1.2,44.000,22.000,A-J_LED-1
1.2,48.000,22.000,A-J_LED-3
1.2,22.000,28.000,B-J_LED-3
1.2,26.000,28.000,B-J_LED-1
1.2,30.190,28.000,B-J_ESP32-3
1.2,32.730,28.000,B-J_ESP32-6
1.2,37.810,28.000,B-J_ESP32-5
1.2,40.350,28.000,B-J_ESP32-4
1.2,52.000,28.000,B-J_ESP32-9
1.2,64.000,28.000,B-J_ESP32-2
1.2,67.500,28.000,B-J_ESP32-1
1.2,22.000,47.000,B-J_ESP32-8
1.2,28.000,47.000,B-J_LED-2
1.2,35.000,47.000,B-J_ESP32-7
1.2,63.500,47.000,B-PWR1-2
1.2,67.000,47.000,B-PWR1-1
2.0,35.000,2.500,A-registration
2.0,35.000,47.500,B-registration
