Comment,Designator,Footprint,LCSC Part #
0.5A PTC,F1,Fuse_1206_3216Metric,C163512
1000uF 16V,C2,CP_Elec_10x10.5,C970714
100k,R3,R_0603_1608Metric,C25803
100nF,C1,C_0603_1608Metric,C14663
330R,R1,R_0603_1608Metric,C23138
5.1k,R2,R_0603_1608Metric,C23186
5V INPUT,J1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C265003
BUZZER,J5,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C265003
BUZZER ENABLE,SW2,ESPNoise_7x7_DPDT_Pushbutton,C5379891
CONTROLLER,J2,JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical,C265112
LED STRIP,J3,JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical,C265086
MICROPHONE,J4,JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical,C265088
MMBT3904,Q1,SOT-23,C181119
MUTE,SW1,ESPNoise_7x7_DPDT_Pushbutton,C5379890
SN74AHCT125PWR,U1,TSSOP-14_4.4x5mm_P0.65mm,C36365
