Designator,Mid X,Mid Y,Layer,Rotation
BZ1,69.000mm,10.000mm,Top,0.0
C1,30.500mm,4.000mm,Bottom,0.0
C2,72.000mm,15.000mm,Bottom,0.0
C3,26.500mm,10.000mm,Bottom,270.0
D1,59.000mm,7.800mm,Top,0.0
F1,24.500mm,4.000mm,Bottom,270.0
J1,75.200mm,5.000mm,Bottom,0.0
J2,44.500mm,15.000mm,Bottom,0.0
J3,62.500mm,5.000mm,Bottom,0.0
MIC1,29.500mm,10.710mm,Bottom,0.0
Q1,60.500mm,14.000mm,Bottom,0.0
R1,48.500mm,5.000mm,Bottom,0.0
R2,60.000mm,17.000mm,Bottom,0.0
R3,64.000mm,17.000mm,Bottom,270.0
SW1,20.000mm,10.000mm,Top,0.0
SW2,7.000mm,10.000mm,Top,0.0
U1,39.500mm,5.000mm,Bottom,0.0
