ref,value,manufacturer,mpn,lcsc,side,description
BZ1,FUET-1370F-05,FUET,FUET-1370F-05,C2690507,Top,"5 V, 2.4 kHz passive electromagnetic buzzer with top sound port"
C1,100nF,Yageo,CC0603KRX7R9BB104,C14663,Bottom,"AHCT bypass capacitor, 50 V X7R"
C2,1000uF 10V,KNSCHA,RVT1000UF10V167RV0083,C5246577,Bottom,"LED rail bulk capacitor, 105 C, observe polarity"
C3,100nF,Yageo,CC0603KRX7R9BB104,C14663,Bottom,"Microphone bypass capacitor, 50 V X7R"
D1,1N5819WS,Hottech,1N5819WS,C191023,Top,Buzzer flyback diode; cathode on switched 5 V
F1,0.5A PTC,Littelfuse,1206L050YR,C163512,Bottom,"0.50 A hold resettable fuse, 6 V"
J1,USB-C 5V,JST,B2B-PH-SM4-TBT(LF)(SN),C265003,Bottom,"External power-only USB-C module cable, lower face"
J2,CONTROLLER,JST,B10B-PH-SM4-TBT(LF)(SN),C265112,Bottom,"Controller adapter cable, JST PH 10 pin, lower face"
J3,LED STRIP,JST,B5B-PH-SM4-TBT(LF)(SN),C265086,Bottom,"SK6812 RGBW cable with power at both strip ends, lower face"
MIC1,ICS-43434,TDK InvenSense,ICS-43434,C5656610,Bottom,I2S bottom-port MEMS microphone; acoustic port faces the top through the PCB hole
Q1,MMBT3904,Hottech,MMBT3904,C181119,Bottom,"NPN low-side buzzer driver; pin 1 base, 2 emitter, 3 collector"
R1,330R,UNI-ROYAL,0603WAF3300T5E,C23138,Bottom,SK6812 series data resistor
R2,1k,UNI-ROYAL,0603WAF1001T5E,C21190,Bottom,Buzzer transistor base resistor
R3,100k,UNI-ROYAL,0603WAF1003T5E,C25803,Bottom,Buzzer transistor base pull-down
SW1,MUTE,SHOU HAN,7-7 WS,C5379890,Top,7x7 mm DPDT momentary pushbutton
SW2,BUZZER ENABLE,SHOU HAN,7-7 ZS,C5379891,Top,7x7 mm DPDT latching pushbutton; extended state enables buzzer
U1,SN74AHCT125PWR,Texas Instruments,SN74AHCT125PWR,C36365,Bottom,5 V AHCT quad buffer for SK6812 data
